year,recipient_id,recipient_name,recipient_postcode,recipient_location,agency,scheme,amount,country,currency
2014,GB-CM3-LORD RAYLEIGHS FARMS LTD,LORD RAYLEIGHS FARMS LTD,CM3,CHELMSFORD,RPA,Single area payment scheme,"624,324.55",GB,GBP
2014,GB-SY23-AU FARMS,AU FARMS,SY23,CEREDIGION,WG,"Development of new products, processes and technologies","624,150.05",GB,GBP
2015,GB-PH36-ADELPHI DISTILLERY LTD,ADELPHI DISTILLERY LTD,PH36,Ardnamuchan,SGRPID,Investments in physical assets,"623,236.0",GB,GBP
2014,GB-TD3-J & T F Macfarlane Ltd,J & T F Macfarlane Ltd,TD3,GORDON,SGRPID,Single area payment scheme,"622,258.23",GB,GBP
2015,GB-ME3-MOCKBEGGAR LTD,MOCKBEGGAR LTD,ME3,ROCHESTER,RPA,Aid in fruit and vegetables sector,"618,081.91",GB,GBP
2014,GB-SY25-PENCEFN FEEDS LTD,PENCEFN FEEDS LTD,SY25,CEREDIGION,WG,Adding value to agricultural and forestry products,"612,469.22",GB,GBP
2014,GB-YO25-J S R FARMS LTD,J S R FARMS LTD,YO25,DRIFFIELD,RPA,Single area payment scheme,"612,263.68",GB,GBP
2015,GB-LN8-HR BOURN AND SONS,HR BOURN AND SONS,LN8,MARKET RASEN,RPA,Single area payment scheme,"600,955.8",GB,GBP
2015,GB-SY23-MENTER A BUSNES,MENTER A BUSNES,SY23,CEREDIGION,WG,"Development of new products, processes and technologies","600,938.32",GB,GBP
2015,GB-PH16-K & J Walker,K & J Walker,PH16,PITLOCHRY,SGRPID,Investment in forest area development and improvement of the viability of forests,"600,768.71",GB,GBP
2015,GB-BT64-CRAIGAVON BOROUGH COUNCIL-SOAR,CRAIGAVON BOROUGH COUNCIL-SOAR,BT64,CRAIGAVON,DAERA,Implementing local development strategies. Quality of life/diversification,"598,964.61",GB,GBP
2015,GB-BT48-DERRY CITY & STRABANE,DERRY CITY & STRABANE,BT48,LONDONDERRY,DAERA,Implementing local development strategies. Quality of life/diversification,"597,342.81",GB,GBP
2014,GB-LN8-HR BOURN AND SONS,HR BOURN AND SONS,LN8,MARKET RASEN,RPA,Single area payment scheme,"589,914.39",GB,GBP
2015,GB-PH2-Mrs E V McCorquodale Trs,Mrs E V McCorquodale Trs,PH2,PERTH,SGRPID,Investment in forest area development and improvement of the viability of forests,"586,335.05",GB,GBP
2015,GB-BT43-MID & EAST ANTRIM BOROUGH COUNCIL,MID & EAST ANTRIM BOROUGH COUNCIL,BT43,BALLYMENA,DAERA,Implementing local development strategies. Quality of life/diversification,"585,812.9",GB,GBP
2015,GB-DG1-The Church Commissioners For England,The Church Commissioners For England,DG1,DUMFRIES,SGRPID,Investment in forest area development and improvement of the viability of forests,"585,687.38",GB,GBP
2015,GB-YO25-J S R FARMS LTD,J S R FARMS LTD,YO25,DRIFFIELD,RPA,Single area payment scheme,"584,550.65",GB,GBP
2014,GB-DG4-Valley Fields (Scotland),Valley Fields (Scotland),DG4,Sanquhar,SGRPID,Single area payment scheme,"583,584.92",GB,GBP
2015,GB-CM3-LORD RAYLEIGHS FARMS LTD,LORD RAYLEIGHS FARMS LTD,CM3,CHELMSFORD,RPA,Single area payment scheme,"582,601.32",GB,GBP
2015,GB-BA12-HARLEY FARMS (SOUTH),HARLEY FARMS (SOUTH),BA12,WARMINSTER,RPA,Single area payment scheme,"580,116.77",GB,GBP
2015,GB-DG13-A F Gospel,A F Gospel,DG13,Langholm,SGRPID,Investment in forest area development and improvement of the viability of forests,"579,537.97",GB,GBP
2014,GB-DN20-R J & A E GODFREY,R J & A E GODFREY,DN20,BRIGG,RPA,Single area payment scheme,"579,444.66",GB,GBP
2014,GB-PE35-SANDRINGHAM FARMS,SANDRINGHAM FARMS,PE35,SANDRINGHAM,RPA,Single area payment scheme,"579,076.32",GB,GBP
2015,GB-PE34-Eaubrink Farm GMBH,Eaubrink Farm GMBH,PE34,KING'S LYNN,RPA,Single area payment scheme,"576,394.54",GB,GBP
2015,GB-G40-Heidi Beers Ltd,Heidi Beers Ltd,G40,Glasgow,SGRPID,Investments in physical assets,"575,623.0",GB,GBP
2014,GB-BT94-ARC HEALTHY LIVING CENTRE LTD,ARC HEALTHY LIVING CENTRE LTD,BT94,ENNISKILLEN,DARDNI,Implementing local development strategies. Quality of life/diversification,"573,692.33",GB,GBP
2014,GB-DT2-EVERSHOT FARMS LTD,EVERSHOT FARMS LTD,DT2,DORCHESTER,RPA,Single area payment scheme,"572,278.83",GB,GBP
2014,GB-OX18-RMR WINGFIELD,RMR WINGFIELD,OX18,BURFORD,RPA,Single area payment scheme,"570,744.51",GB,GBP
2015,GB-YO24-YORKSHIRE WILDLIFE TRUST,YORKSHIRE WILDLIFE TRUST,YO24,YORK,RPA,Investments in physical assets,"565,809.04",GB,GBP
2014,GB-NG31-Trust Farming Ltd Woodland,Trust Farming Ltd Woodland,NG31,GRANTHAM,RPA,First afforestation of agricultural land,"564,555.19",GB,GBP
2014,GB-DG8-Kevan Forsyth,Kevan Forsyth,DG8,Newton Stewart,SGRPID,Single area payment scheme,"561,143.03",GB,GBP
2015,GB-BT60-ARMAGH CITY & DISTRICT COUNCIL,ARMAGH CITY & DISTRICT COUNCIL,BT60,ARMAGH,DAERA,Implementing local development strategies. Quality of life/diversification,"559,173.3",GB,GBP
2014,GB-KY14-J R Graham Ltd,J R Graham Ltd,KY14,Auchtermuchty,SGRPID,Single area payment scheme,"558,648.19",GB,GBP
2014,GB-KA19-Mr B J Flattery,Mr B J Flattery,KA19,MAYBOLE,SGRPID,First afforestation of agricultural land,"552,292.4",GB,GBP
2014,GB-SY8-Earl Of Plymouth Estates Limited,Earl Of Plymouth Estates Limited,SY8,LUDLOW,RPA,Single area payment scheme,"548,704.88",GB,GBP
2015,GB-NR1-NORFOLK WILDLIFE TRUST,NORFOLK WILDLIFE TRUST,NR1,NORWICH,RPA,Agri-environment-climate,"547,137.56",GB,GBP
2015,GB-DN20-R J & A E GODFREY,R J & A E GODFREY,DN20,BRIGG,RPA,Single area payment scheme,"545,297.67",GB,GBP
2015,GB-SY23-HYBU CIG CYMRU MEAT PROMOTION WALES,HYBU CIG CYMRU MEAT PROMOTION WALES,SY23,CEREDIGION,WG,"Development of new products, processes and technologies","543,717.56",GB,GBP
2015,GB-PE35-SANDRINGHAM FARMS,SANDRINGHAM FARMS,PE35,SANDRINGHAM,RPA,Single area payment scheme,"540,569.19",GB,GBP
2014,GB-PE37-SOUTH PICKENHAM ESTATE COMPANY LTD,SOUTH PICKENHAM ESTATE COMPANY LTD,PE37,SWAFFHAM,RPA,Single area payment scheme,"540,377.99",GB,GBP
2014,GB-ME3-A C Goatham & Son,A C Goatham & Son,ME3,Rochester,RPA,Adding value to agricultural and forestry products,"539,442.96",GB,GBP
2015,GB-IV36-Moray Estates Development Co,Moray Estates Development Co,IV36,FORRES,SGRPID,Single area payment scheme,"539,198.87",GB,GBP
2015,GB-W1S-Saker Estates Limited,Saker Estates Limited,W1S,LONDON,RPA,Single area payment scheme,"537,127.85",GB,GBP
2014,GB-OX2-TRUSTEES FAWSLEY ESTATE SETTLEMENT,TRUSTEES FAWSLEY ESTATE SETTLEMENT,OX2,OXFORD,RPA,Non-productive investments,"535,701.16",GB,GBP
2015,GB-SN2-National Trust,National Trust,SN2,SWINDON,RPA,Agri-environment payments,"535,696.11",GB,GBP
2014,GB-DG9-Genoch Mains Farms,Genoch Mains Farms,DG9,Stranraer,SGRPID,Single area payment scheme,"533,829.46",GB,GBP
2014,GB-IP33-Saker Estates Limited,Saker Estates Limited,IP33,BURY ST. EDMUNDS,RPA,Single area payment scheme,"533,579.78",GB,GBP
2014,GB-EX1-RSPB,RSPB,EX1,Exeter,RPA,Non-productive investments,"533,239.94",GB,GBP
2014,GB-SN8-RAMSBURY ESTATES LTD,RAMSBURY ESTATES LTD,SN8,MARLBOROUGH,RPA,Single area payment scheme,"533,053.07",GB,GBP
2014,GB-IP24-Euston Farms,Euston Farms,IP24,THETFORD,RPA,Single area payment scheme,"531,812.78",GB,GBP
2014,GB-CB7-J B Shropshire & Sons Ltd / Riverfen Farms Ltd,J B Shropshire & Sons Ltd / Riverfen Farms Ltd,CB7,ELY,RPA,Single area payment scheme,"530,446.48",GB,GBP
2015,GB-TD6-Scottish Borders Council SRDP,Scottish Borders Council SRDP,TD6,Newtown St Boswells,SGRPID,Basic services and village renewal in rural areas,"529,658.81",GB,GBP
2014,GB-DL7-North Yorkshire County Council,North Yorkshire County Council,DL7,Northallerton,RPA,Implementing local development strategies. Quality of life/diversification,"526,692.25",GB,GBP
2015,GB-TD3-J & T F Macfarlane Ltd,J & T F Macfarlane Ltd,TD3,GORDON,SGRPID,Single area payment scheme,"525,567.83",GB,GBP
2015,GB-IV18-Balnagown Castle Prop Ltd,Balnagown Castle Prop Ltd,IV18,KILDARY,SGRPID,Investment in forest area development and improvement of the viability of forests,"525,460.91",GB,GBP
2014,GB-DN41-Brocklesby Farms,Brocklesby Farms,DN41,GRIMSBY,RPA,Single area payment scheme,"525,021.43",GB,GBP
2015,GB-LLSD-SOUTH CAERNARFON CREAMERIES LTD,SOUTH CAERNARFON CREAMERIES LTD,LLSD,GWYNEDD,WG,Adding value to agricultural and forestry products,"521,086.89",GB,GBP
2014,GB-PE28-ABBOTS RIPTON FARMING COMPANY LIMITED,ABBOTS RIPTON FARMING COMPANY LIMITED,PE28,HUNTINGDON,RPA,Single area payment scheme,"518,760.72",GB,GBP
2014,GB-GU24-Surrey Wildlife Trust,Surrey Wildlife Trust,GU24,Woking,RPA,Single area payment scheme,"517,405.51",GB,GBP
2014,GB-BT70-GALBALLY YOUTH AND COMMUNITY ASSOCIATION,GALBALLY YOUTH AND COMMUNITY ASSOCIATION,BT70,DUNGANNON,DARDNI,Implementing local development strategies. Quality of life/diversification,"515,795.0",GB,GBP
2014,GB-AB21-SRUC/SAC Commercial Ltd,SRUC/SAC Commercial Ltd,AB21,BUCKSBURN,SGRPID,Single area payment scheme,"514,422.91",GB,GBP
2015,GB-LN11-The Greenpea Company Ltd,The Greenpea Company Ltd,LN11,Louth,RPA,Aid in fruit and vegetables sector,"513,169.41",GB,GBP
2015,GB-BT32-BANBRIDGE DISTRICT COUNCIL,BANBRIDGE DISTRICT COUNCIL,BT32,BANBRIDGE,DAERA,Implementing local development strategies. Quality of life/diversification,"513,076.09",GB,GBP
2014,GB-NE66-PERCY FARMS,PERCY FARMS,NE66,ALNWICK,RPA,Agri-environment payments,"512,405.28",GB,GBP
2014,GB-NG14-SEVERN TRENT WATER LTD,SEVERN TRENT WATER LTD,NG14,NOTTINGHAM,RPA,Single area payment scheme,"512,391.51",GB,GBP
2015,GB-CB7-J B Shropshire & Sons Ltd / Riverfen Farms Ltd,J B Shropshire & Sons Ltd / Riverfen Farms Ltd,CB7,ELY,RPA,Single area payment scheme,"511,703.93",GB,GBP
2014,GB-NE71-SAC Consulting Ltd,SAC Consulting Ltd,NE71,WOOLER,RPA,Vocational training and information actions,"509,237.03",GB,GBP
2014,GB-SA61-PEMBROKESHIRE COUNTY COUNCIL,PEMBROKESHIRE COUNTY COUNCIL,SA61,PEMBS,WG,Basic services for the economy and rural population,"507,872.16",GB,GBP
2014,GB-CF5-UNIVERSITY OF WALES INSTITUTE CARDI,UNIVERSITY OF WALES INSTITUTE CARDI,CF5,CARDIFF,WG,Adding value to agricultural and forestry products,"504,784.69",GB,GBP
2015,GB-SY8-Windsor-Clive Robert,Windsor-Clive Robert,SY8,Nr Ludlow,RPA,Single area payment scheme,"502,521.1",GB,GBP
2014,GB-LN13-WILLOUGHBY FARMS LTD,WILLOUGHBY FARMS LTD,LN13,ALFORD,RPA,Single area payment scheme,"500,909.19",GB,GBP
2014,GB-BT43-BALLYGARVEY EGGS,BALLYGARVEY EGGS,BT43,BALLYMENA,DARDNI,Adding value to agricultural and forestry products,"500,000.0",GB,GBP
2014,GB-EX39-NORTH DEVON +,NORTH DEVON +,EX39,BIDEFORD,RPA,Implementing local development strategies. Quality of life/diversification,"498,326.28",GB,GBP
2014,GB-NE66-PERCY FARMS,PERCY FARMS,NE66,ALNWICK,RPA,Single area payment scheme,"498,266.4",GB,GBP
2014,GB-DG8-Baltier Farming Company Ltd,Baltier Farming Company Ltd,DG8,Newton Stewart,SGRPID,Single area payment scheme,"497,144.75",GB,GBP
2015,GB-DT2-EVERSHOT FARMS LTD,EVERSHOT FARMS LTD,DT2,DORCHESTER,RPA,Single area payment scheme,"496,332.41",GB,GBP
2015,GB-IP24-Grafton of,Grafton of,IP24,Thetford,RPA,Single area payment scheme,"495,320.03",GB,GBP
2014,GB-BT8-CASTLEREAGH BOROUGH COUNCIL,CASTLEREAGH BOROUGH COUNCIL,BT8,BELFAST,DARDNI,Implementing local development strategies. Quality of life/diversification,"494,926.18",GB,GBP
2014,GB-CW5-Promar International,Promar International,CW5,NANTWICH,RPA,Vocational training and information actions,"493,985.74",GB,GBP
2015,GB-TN27-MID KENT GROWERS LTD,MID KENT GROWERS LTD,TN27,Ashford,RPA,Aid in fruit and vegetables sector,"488,713.06",GB,GBP
2015,GB-DG4-Valley Fields (Scotland),Valley Fields (Scotland),DG4,SANQUHAR,SGRPID,Single area payment scheme,"487,961.59",GB,GBP
2014,GB-TF1-Pickstock Ashby Ltd,Pickstock Ashby Ltd,TF1,TELFORD,RPA,Adding value to agricultural and forestry products,"487,006.68",GB,GBP
2014,GB-DT2-Sentry Ltd,Sentry Ltd,DT2,DORCHESTER,RPA,Single area payment scheme,"486,681.03",GB,GBP
2015,GB-PE37-Palgrave Farming Co Ltd,Palgrave Farming Co Ltd,PE37,Swaffham,RPA,Single area payment scheme,"486,363.26",GB,GBP
2015,GB-EH12-RSPB,RSPB,EH12,EDINBURGH,SGRPID,Investment in forest area development and improvement of the viability of forests,"484,144.67",GB,GBP
2015,GB-DE45-Peak District National Park Authority,Peak District National Park Authority,DE45,BAKEWELL,RPA,Investments in physical assets,"484,034.99",GB,GBP
2015,GB-BT20-NORTH DOWN BOROUGH COUNCIL,NORTH DOWN BOROUGH COUNCIL,BT20,BANGOR,DAERA,Implementing local development strategies. Quality of life/diversification,"483,519.55",GB,GBP
2014,GB-SY23-Hybu Cig Cymru,Hybu Cig Cymru,SY23,ABERYSTWYTH,RPA,Promotion measures,"482,433.49",GB,GBP
2015,GB-SN8-Ramsbury Estates Ltd,Ramsbury Estates Ltd,SN8,Marlborough,RPA,Single area payment scheme,"481,578.41",GB,GBP
2014,GB-NN3-THE WILDLIFE TRUST BCN,THE WILDLIFE TRUST BCN,NN3,NORTHAMPTON,RPA,Single area payment scheme,"475,709.37",GB,GBP
2015,GB-DG8-Kevan Forsyth,Kevan Forsyth,DG8,NEWTON STEWART,SGRPID,Single area payment scheme,"473,929.98",GB,GBP
2015,GB-KY14-J R Graham Ltd,J R Graham Ltd,KY14,AUCHTERMUCHTY,SGRPID,Single area payment scheme,"471,821.31",GB,GBP
2014,GB-CH3-GROSVENOR FARMS LIMITED,GROSVENOR FARMS LIMITED,CH3,CHESTER,RPA,Single area payment scheme,"470,631.07",GB,GBP
2015,GB-IP24-ELVEDEN FARMS LIMITED,ELVEDEN FARMS LIMITED,IP24,THETFORD,RPA,Agri-environment-climate,"468,994.21",GB,GBP
2014,GB-BT60-ARMAGH CITY & DISTRICT COUNCIL,ARMAGH CITY & DISTRICT COUNCIL,BT60,ARMAGH,DARDNI,Implementing local development strategies. Quality of life/diversification,"467,424.14",GB,GBP
2014,GB-DN9-LOVEDEN ESTATES LIMITED,LOVEDEN ESTATES LIMITED,DN9,DONCASTER,RPA,Single area payment scheme,"467,335.62",GB,GBP
2015,GB-LN4-BLANKNEY ESTATES LTD,BLANKNEY ESTATES LTD,LN4,LINCOLN,RPA,Infrastructure related to the development and adaptation of agriculture and forestry,"467,051.01",GB,GBP
2015,GB-WV9-ADAS UK LTD,ADAS UK LTD,WV9,Pendeford,RPA,Vocational training and information actions,"466,142.25",GB,GBP
2015,GB-PE28-ABBOTS RIPTON FARMING COMPANY LIMITED,ABBOTS RIPTON FARMING COMPANY LIMITED,PE28,HUNTINGDON,RPA,Single area payment scheme,"464,695.33",GB,GBP
2014,GB-TA12-WITCOMBE FARM PARTNERS,WITCOMBE FARM PARTNERS,TA12,MARTOCK,RPA,Modernisation of agricultural holdings,"463,610.42",GB,GBP
2015,GB-NG14-SEVERN TRENT WATER LTD,SEVERN TRENT WATER LTD,NG14,NOTTINGHAM,RPA,Single area payment scheme,"462,411.96",GB,GBP
2015,GB-BT82-STRABANE DISTRICT COUNCIL,STRABANE DISTRICT COUNCIL,BT82,STRABANE,DAERA,Implementing local development strategies. Quality of life/diversification,"462,349.14",GB,GBP
2014,GB-BT71-DUNGANNON & SOUTH TYRONE,DUNGANNON & SOUTH TYRONE,BT71,DUNGANNON,DARDNI,Implementing local development strategies. Quality of life/diversification,"461,794.74",GB,GBP
2015,GB-SG8-Cokenach Limited,Cokenach Limited,SG8,Nr ROYSTON,RPA,Single area payment scheme,"461,721.37",GB,GBP
2015,GB-NE66-PERCY FARMS,PERCY FARMS,NE66,LONGHOUGHTON,RPA,Single area payment scheme,"460,438.9",GB,GBP
2015,GB-PL15-Forest of Dartmoor Commoners Association,Forest of Dartmoor Commoners Association,PL15,LAUNCESTON,RPA,Agri-environment-climate,"460,106.68",GB,GBP
2015,GB-DN41-Brocklesby Farms,Brocklesby Farms,DN41,GRIMSBY,RPA,Single area payment scheme,"459,083.29",GB,GBP
2014,GB-RG18-YATTENDON ESTATES LTD,YATTENDON ESTATES LTD,RG18,THATCHAM,RPA,Single area payment scheme,"458,040.72",GB,GBP
2015,GB-HR8-WYE FRUIT LTD,WYE FRUIT LTD,HR8,LEDBURY,RPA,Aid in fruit and vegetables sector,"456,916.54",GB,GBP
2015,GB-KA6-John Mark Gibson,John Mark Gibson,KA6,DALMELLINGTON,SGRPID,Investment in forest area development and improvement of the viability of forests,"456,061.53",GB,GBP
2015,GB-BT71-JOHN MACKLE (MOY) LTD,JOHN MACKLE (MOY) LTD,BT71,DUNGANNON,DAERA,Investments in physical assets,"454,696.0",GB,GBP
2015,GB-GU24-Surrey Wldlife Trust,Surrey Wldlife Trust,GU24,Woking,RPA,Single area payment scheme,"453,949.12",GB,GBP
2015,GB-LN13-WILLOUGHBY FARMS LTD,WILLOUGHBY FARMS LTD,LN13,ALFORD,RPA,Single area payment scheme,"453,261.65",GB,GBP
2015,GB-BT71-COUNTRYSIDE SERVICES LIMITED,COUNTRYSIDE SERVICES LIMITED,BT71,DUNGANNON,DAERA,Technical Assistance,"452,200.51",GB,GBP
2014,GB-HP18-WADDESDON FARMS,WADDESDON FARMS,HP18,AYLESBURY,RPA,Single area payment scheme,"451,481.72",GB,GBP
2015,GB-DG9-Genoch Mains Farms,Genoch Mains Farms,DG9,STRANRAER,SGRPID,Single area payment scheme,"450,843.07",GB,GBP
2015,GB-MK44-BEDFORDIA FARMS LTD,BEDFORDIA FARMS LTD,MK44,BEDFORD,RPA,Single area payment scheme,"450,455.2",GB,GBP
2014,GB-BT80-COOKSTOWN DISTRICT COUNCIL,COOKSTOWN DISTRICT COUNCIL,BT80,COOKSTOWN,DARDNI,"Running the local action group, acquiring skills and animating the territory","450,157.86",GB,GBP
2014,GB-PE31-ROBINSON FARMS (CARBROOKE) LTD,ROBINSON FARMS (CARBROOKE) LTD,PE31,KING'S LYNN,RPA,Single area payment scheme,"447,135.31",GB,GBP
2014,GB-CV37-Sandfields Farms Ltd,Sandfields Farms Ltd,CV37,STRATFORD-UPON-AVON,RPA,Single area payment scheme,"446,311.47",GB,GBP
2014,GB-SA32-NATIONAL BOTANIC GARDEN OF WALES,NATIONAL BOTANIC GARDEN OF WALES,SA32,CARMARTHENSHIRE,WG,Adding value to agricultural and forestry products,"445,216.25",GB,GBP
2014,GB-DN14-H Barker & Sons,H Barker & Sons,DN14,GOOLE,RPA,Single area payment scheme,"444,939.77",GB,GBP
2014,GB-PH2-IAN WHITE LTD,IAN WHITE LTD,PH2,Rhynd,SGRPID,Single area payment scheme,"444,389.5",GB,GBP
2015,GB-IP8-Sentry Ltd,Sentry Ltd,IP8,IPSWICH,RPA,Single area payment scheme,"443,901.08",GB,GBP
2014,GB-GU24-Surrey Wildlife Trust,Surrey Wildlife Trust,GU24,Woking,RPA,Agri-environment payments,"442,734.02",GB,GBP
2014,GB-BD1-City of Bradford Metroplitan District Council,City of Bradford Metroplitan District Council,BD1,BRADFORD,RPA,Implementing local development strategies. Quality of life/diversification,"440,829.25",GB,GBP
2014,GB-LN11-AW SMITH & SONS LTD,AW SMITH & SONS LTD,LN11,LOUTH,RPA,Single area payment scheme,"439,687.05",GB,GBP
2014,GB-SP3-E GRANT & SONS,E GRANT & SONS,SP3,SALISBURY,RPA,Single area payment scheme,"438,485.02",GB,GBP
2015,GB-RG18-YATTENDON ESTATES LTD,YATTENDON ESTATES LTD,RG18,THATCHAM,RPA,Single area payment scheme,"437,565.57",GB,GBP
2014,GB-BT9-COUNTRYSIDE RECREATION NORTHERN IRELAND,COUNTRYSIDE RECREATION NORTHERN IRELAND,BT9,BELFAST,DARDNI,Implementing local development strategies. Quality of life/diversification,"437,257.66",GB,GBP
2014,GB-NR1-NORFOLK WILDLIFE TRUST,NORFOLK WILDLIFE TRUST,NR1,NORWICH,RPA,Single area payment scheme,"436,004.4",GB,GBP
2015,GB-SA32-NATIONAL BOTANIC GARDEN OF WALES,NATIONAL BOTANIC GARDEN OF WALES,SA32,CARMARTHENSHIRE,WG,Adding value to agricultural and forestry products,"435,186.5",GB,GBP
2015,GB-LS22-J & E MEDCALF LTD,J & E MEDCALF LTD,LS22,WETHERBY,RPA,Adding value to agricultural and forestry products,"434,802.12",GB,GBP
2015,GB-CA10-Moorhouse Commoners Committee,Moorhouse Commoners Committee,CA10,PENRITH,RPA,Agri-environment-climate,"432,756.24",GB,GBP
2014,GB-DT1-Dorset County Council,Dorset County Council,DT1,DORCHESTER,RPA,Implementing local development strategies. Quality of life/diversification,"431,515.32",GB,GBP
2015,GB-RG4-Coppid Farming Enterprises LLP,Coppid Farming Enterprises LLP,RG4,READING,RPA,Single area payment scheme,"430,036.29",GB,GBP
2014,GB-DL6-Vicky Anderson Training,Vicky Anderson Training,DL6,NORTHALLERTON,RPA,Vocational training and information actions,"428,674.18",GB,GBP
2015,GB-BT63-SIMPLY FRUIT (IRELAND) LTD,SIMPLY FRUIT (IRELAND) LTD,BT63,CRAIGAVON,DAERA,Investments in physical assets,"428,288.0",GB,GBP
2015,GB-NG22-FRESH GROWERS LTD,FRESH GROWERS LTD,NG22,NEWARK,RPA,Aid in fruit and vegetables sector,"428,152.6",GB,GBP
2015,GB-LD6-MWMAC LTD,MWMAC LTD,LD6,POWYS,WG,Adding value to agricultural and forestry products,"428,116.22",GB,GBP
2014,GB-AB54-J C Innes & Sons,J C Innes & Sons,AB54,Huntly,SGRPID,Single area payment scheme,"427,848.24",GB,GBP
2014,GB-YO41-The Food & Environment Research Agency,The Food & Environment Research Agency,YO41,YORK,RPA,Technical Assistance,"426,655.04",GB,GBP
2015,GB-IV27-Braegrudie Common Grazings,Braegrudie Common Grazings,IV27,Lairg,SGRPID,Investment in forest area development and improvement of the viability of forests,"425,498.44",GB,GBP
2015,GB-CH3-GROSVENOR FARMS LIMITED,GROSVENOR FARMS LIMITED,CH3,CHESTER,RPA,Single area payment scheme,"424,001.68",GB,GBP
2015,GB-HP18-Waddesdon Estate,Waddesdon Estate,HP18,Aylesbury,RPA,Single area payment scheme,"423,615.98",GB,GBP
2014,GB-OX33-Besterman A R P,Besterman A R P,OX33,OXFORD,RPA,Single area payment scheme,"423,217.1",GB,GBP
2015,GB-PH2-The Woodland Trust,The Woodland Trust,PH2,PERTH,SGRPID,Investment in forest area development and improvement of the viability of forests,"422,816.94",GB,GBP
2015,GB-DN9-LOVEDEN ESTATES LIMITED,LOVEDEN ESTATES LIMITED,DN9,DONCASTER,RPA,Single area payment scheme,"422,383.58",GB,GBP
2015,GB-BT38-RAILWAY PRESERVATION SOCIETY OF IRELAND,RAILWAY PRESERVATION SOCIETY OF IRELAND,BT38,CARRICKFERGUS,DAERA,Implementing local development strategies. Quality of life/diversification,"422,009.33",GB,GBP
2014,GB-BT79-OMAGH DISTRICT COUNCIL,OMAGH DISTRICT COUNCIL,BT79,OMAGH,DARDNI,"Running the local action group, acquiring skills and animating the territory","421,915.82",GB,GBP
2014,GB-TA1-SOMERSET COUNTY COUNCIL,SOMERSET COUNTY COUNCIL,TA1,TAUNTON,RPA,Implementing local development strategies. Quality of life/diversification,"421,139.4",GB,GBP
2015,GB-DG8-Baltier Farming Company Ltd,Baltier Farming Company Ltd,DG8,NEWTON STEWART,SGRPID,Single area payment scheme,"419,855.47",GB,GBP
2014,GB-PH12-Messrs George Mclaren,Messrs George Mclaren,PH12,Meigle,SGRPID,Modernisation of agricultural holdings,"419,637.3",GB,GBP
2014,GB-RG14-Exmoor Forest Farms,Exmoor Forest Farms,RG14,NEWBURY,RPA,Agri-environment payments,"419,302.8",GB,GBP
2014,GB-RH13-KNEPP CASTLE HOME FARM,KNEPP CASTLE HOME FARM,RH13,HORSHAM,RPA,Agri-environment payments,"417,303.98",GB,GBP
2014,GB-AB43-D R F Farmers Ltd,D R F Farmers Ltd,AB43,FRASERBURGH,SGRPID,Single area payment scheme,"417,239.57",GB,GBP
2014,GB-TN11-JUDDMONTE FARMS LTD,JUDDMONTE FARMS LTD,TN11,TONBRIDGE,RPA,Single area payment scheme,"416,899.29",GB,GBP
2014,GB-SN9-Rushall Organics,Rushall Organics,SN9,PEWSEY,RPA,Single area payment scheme,"416,731.66",GB,GBP
2014,GB-AB53-Mr A J Duncan (A Firm),Mr A J Duncan (A Firm),AB53,Turriff,SGRPID,Single area payment scheme,"416,316.31",GB,GBP
2014,GB-IV2-Eskadale Estate,Eskadale Estate,IV2,Inverness,SGRPID,First afforestation of non-agricultural land,"415,360.03",GB,GBP
2014,GB-SP11-Biddesden House Farm Partnership,Biddesden House Farm Partnership,SP11,ANDOVER,RPA,Single area payment scheme,"414,510.01",GB,GBP
2014,GB-BT30-DOWN DISTRICT COUNCIL,DOWN DISTRICT COUNCIL,BT30,DOWNPATRICK,DARDNI,Implementing local development strategies. Quality of life/diversification,"414,270.72",GB,GBP
2014,GB-GL54-ROPSLEY FARMS LTD,ROPSLEY FARMS LTD,GL54,CHELTENHAM,RPA,Single area payment scheme,"413,891.32",GB,GBP
2015,GB-AB21-SRUC/SAC Commercial Ltd,SRUC/SAC Commercial Ltd,AB21,BUCKSBURN,SGRPID,Single area payment scheme,"412,732.53",GB,GBP
2014,GB-DD8-Balbinny Farms,Balbinny Farms,DD8,Forfar,SGRPID,Diversification into non-agricultural activities,"409,698.8",GB,GBP
2015,GB-EH12-Soil Association,Soil Association,EH12,EDINBURGH,SGRPID,Cooperation,"409,129.0",GB,GBP
2015,GB-OX18-RMR WINGFIELD,RMR WINGFIELD,OX18,BURFORD,RPA,Single area payment scheme,"405,871.4",GB,GBP
2014,GB-OX25-M.D. HAMILTON FARMS LTD,M.D. HAMILTON FARMS LTD,OX25,BICESTER,RPA,Single area payment scheme,"405,556.07",GB,GBP
2014,GB-TN27-MID KENT GROWERS LTD,MID KENT GROWERS LTD,TN27,Ashford,RPA,Aid in fruit and vegetables sector,"405,496.89",GB,GBP
2015,GB-PE31-ROBINSON FARMS (CARBROOKE) LTD,ROBINSON FARMS (CARBROOKE) LTD,PE31,KING'S LYNN,RPA,Single area payment scheme,"405,134.12",GB,GBP
2014,GB-MK44-BEDFORDIA FARMS LTD,BEDFORDIA FARMS LTD,MK44,BEDFORD,RPA,Single area payment scheme,"404,388.72",GB,GBP
